"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"142",NA,NA,"120 000 Ft/hó",NA,"Handzsár utca"," XIV. kerület","54 m² terület","2 szoba","5 m² erkély"
"143",NA,NA,"120 000 Ft/hó",NA,"Róbert Károly körút"," XIII. kerület","33 m² terület","1 + 1 fél szoba",NA
"144",NA,NA,"200 000 Ft/hó",NA,"Móricz Zsigmond körtér"," XI. kerület","56 m² terület","2 + 1 fél szoba","8 m² erkély"
"145",NA,NA,"140 000 Ft/hó",NA,"Kondorosi út"," XI. kerület","38 m² terület","2 szoba","10 m² erkély"
"146",NA,NA,"149 000 Ft/hó",NA,"Rátz László utca"," XI. kerület","48 m² terület","2 szoba",NA
"147","Új építésű",NA,"130 000 Ft/hó",NA,"Lehel utca"," XIII. kerület","27 m² terület","1 szoba","7 m² erkély"
"148",NA,NA,"154 000 Ft/hó",NA,"Kertész utca"," VII. kerület","80 m² terület","2 + 1 fél szoba","4 m² erkély"
"149",NA,NA,"140 000 Ft/hó",NA,"Thomán István utca"," XII. kerület","49 m² terület","1 + 1 fél szoba",NA
"150",NA,NA,"130 000 Ft/hó",NA,"Váci út"," XIII. kerület","60 m² terület","2 szoba","3 m² erkély"
"151",NA,NA,"160 000 Ft/hó",NA,"Albert utca"," XI. kerület","54 m² terület","2 + 1 fél szoba",NA
"152",NA,NA,"150 000 Ft/hó",NA,"Palóc utca"," XIII. kerület","51 m² terület","2 szoba","4 m² erkély"
"153",NA,NA,"130 000 Ft/hó",NA,"Szigony utca"," VIII. kerület","50 m² terület","2 szoba",NA
"154",NA,NA,"149 000 Ft/hó",NA,"Szomolnok utca"," III. kerület","38 m² terület","1 + 1 fél szoba",NA
"155",NA,NA,"165 000 Ft/hó",NA,"Március 15. tér"," V. kerület","52 m² terület","2 + 1 fél szoba",NA
"156","Új építésű",NA,"180 000 Ft/hó",NA,"Kazinczy utca"," VII. kerület","48 m² terület","2 szoba","10 m² erkély"
"157","Új építésű",NA,"190 000 Ft/hó",NA,"Hegyalja út 15"," I. kerület","43 m² terület","2 szoba","11 m² erkély"
"158","Videó elérhető",NA,"120 000 Ft/hó",NA,"Ferenciek tere 4"," V. kerület","34 m² terület","1 szoba",NA
"159",NA,NA,"100 000 Ft/hó",NA,"Dózsa György út"," VI. kerület","44 m² terület","1 + 1 fél szoba",NA
"160","Új építésű",NA,"170 000 Ft/hó",NA,"Kazinczy utca"," VII. kerület","45 m² terület","2 szoba",NA
"161",NA,NA,"120 000 Ft/hó",NA,"Középső-Ferencváros - Rehabilitációs terület"," IX. kerület","27 m² terület","1 szoba",NA
"162",NA,NA,"139 000 Ft/hó",NA,"Futár utca"," XIII. kerület","28 m² terület","1 szoba",NA
"163",NA,NA,"130 000 Ft/hó",NA,"Tűzoltó utca"," IX. kerület","40 m² terület","2 szoba",NA
"164",NA,NA,"160 000 Ft/hó",NA,"Népfürdő utca"," XIII. kerület","49 m² terület","2 szoba","4 m² erkély"
"165","Új építésű",NA,"170 000 Ft/hó",NA,"Kazinczy utca"," VII. kerület","47 m² terület","2 szoba","8 m² erkély"
"166","Új építésű",NA,"125 000 Ft/hó",NA,"Kocsis Sándor út 4"," III. kerület","37 m² terület","2 szoba","8 m² erkély"
"167",NA,NA,"140 000 Ft/hó",NA,"Fehérvári út"," XI. kerület","50 m² terület","2 szoba",NA
"168",NA,NA,"160 000 Ft/hó",NA,"Törökugrató utca"," XI. kerület","56 m² terület","3 szoba","4 m² erkély"
"169",NA,NA,"160 000 Ft/hó",NA,"Rumbach Sebestyén utca"," VII. kerület","59 m² terület","2 szoba",NA
"170","Új építésű",NA,"180 000 Ft/hó",NA,"Mester utca"," IX. kerület","42 m² terület","1 + 1 fél szoba","15 m² erkély"
"171",NA,NA,"135 000 Ft/hó",NA,"Százház utca"," VII. kerület","34 m² terület","1 szoba","3 m² erkély"
