"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1549","Videó elérhető",NA,"330 000 Ft/hó",NA,"Naphegy utca"," I. kerület","71 m² terület","3 szoba","5 m² erkély"
"1550",NA,NA,"180 000 Ft/hó",NA,"Apostol utca"," II. kerület","59 m² terület","2 szoba","36 m² erkély"
"1551",NA,NA,"308 000 Ft/hó",NA,"Vigyázó Ferenc utca"," V. kerület","80 m² terület","3 szoba",NA
"1552",NA,NA,"280 000 Ft/hó",NA,"Kmety György utca"," VI. kerület","94 m² terület","3 szoba","3 m² erkély"
"1553",NA,NA,"250 000 Ft/hó",NA,"Bajcsy-Zsilinszky út"," VI. kerület","80 m² terület","3 szoba",NA
"1554",NA,NA,"865 000 Ft/hó",NA,"Molnár utca"," V. kerület","123 m² terület","4 szoba",NA
"1555","Új építésű",NA,"330 000 Ft/hó",NA,"Naphegy utca"," I. kerület","71 m² terület","3 szoba",NA
"1556",NA,NA,"190 000 Ft/hó",NA,"Rátz László utca"," XI. kerület","50 m² terület","2 szoba",NA
"1557","Videó elérhető",NA,"365 150 Ft/hó",NA,"Petőfi Sándor utca 10"," V. kerület","75 m² terület","2 szoba",NA
"1558",NA,NA,"299 000 Ft/hó",NA,"Váci utca"," V. kerület","70 m² terület","3 szoba",NA
"1559",NA,NA,"170 000 Ft/hó",NA,"Déri Miksa utca"," VIII. kerület","68 m² terület","3 szoba","4 m² erkély"
"1560",NA,NA,"195 000 Ft/hó",NA,"Bocskai út"," XI. kerület","44 m² terület","2 szoba",NA
"1561",NA,NA,"600 000 Ft/hó",NA,"Honvéd utca"," V. kerület","140 m² terület","4 szoba",NA
"1562",NA,NA,"328 635 Ft/hó",NA,"Petőfi Sándor utca"," V. kerület","81 m² terület","2 szoba",NA
"1563",NA,NA,"170 000 Ft/hó",NA,"Baross utca 45"," VIII. kerület","45 m² terület","2 szoba",NA
"1564",NA,NA,"125 000 Ft/hó",NA,"Törzs utca"," III. kerület","53 m² terület","1 + 1 fél szoba",NA
"1565",NA,NA,"160 000 Ft/hó",NA,"Tátra utca"," XIII. kerület","64 m² terület","2 szoba",NA
"1566","Új építésű",NA,"200 000 Ft/hó",NA,"Alíz utca"," XI. kerület","52 m² terület","2 szoba","4 m² erkély"
"1567",NA,NA,"160 000 Ft/hó",NA,"Illés utca"," VIII. kerület","45 m² terület","2 szoba","2 m² erkély"
"1568",NA,NA,"180 000 Ft/hó",NA,"Etele út 64"," XI. kerület","68 m² terület","3 szoba","4 m² erkély"
"1569",NA,NA,"250 000 Ft/hó",NA,"Szondi utca"," VI. kerület","155 m² terület","5 szoba",NA
"1570",NA,NA,"280 000 Ft/hó",NA,"Törökvész"," II. kerület","90 m² terület","3 + 1 fél szoba","12 m² erkély"
"1571",NA,NA,"170 000 Ft/hó",NA,"Fogarasi út"," XIV. kerület","50 m² terület","2 szoba","2 m² erkély"
"1572","Új építésű",NA,"120 000 Ft/hó",NA,"Frangepán utca"," XIII. kerület","30 m² terület","1 szoba","3 m² erkély"
"1573",NA,NA,"170 000 Ft/hó",NA,"Keleti Károly utca"," II. kerület","45 m² terület","1 szoba","8 m² erkély"
"1574",NA,NA,"110 000 Ft/hó",NA,"Koszorú utca"," VIII. kerület","44 m² terület","1 szoba",NA
"1575",NA,NA,"280 000 Ft/hó",NA,"Kmety György utca"," VI. kerület","85 m² terület","3 szoba",NA
"1576",NA,NA,"260 000 Ft/hó",NA,"Jókai tér"," VI. kerület","101 m² terület","2 + 1 fél szoba",NA
"1577",NA,NA,"250 000 Ft/hó",NA,"Anker köz 2-4"," VI. kerület","82 m² terület","3 szoba",NA
"1578","Videó elérhető",NA,"165 000 Ft/hó",NA,"Vörösmarty tér"," V. kerület","29 m² terület","1 szoba",NA
"1579",NA,NA,"130 000 Ft/hó",NA,"Polgár utca 5"," III. kerület","52 m² terület","2 szoba",NA
"1580",NA,NA,"200 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","44 m² terület","2 szoba","7 m² erkély"
"1581",NA,NA,"180 000 Ft/hó",NA,"Bertalan Lajos utca"," XI. kerület","64 m² terület","2 szoba",NA
"1582",NA,NA,"420 000 Ft/hó",NA,"Guyon Richárd utca"," II. kerület","202 m² terület","4 + 1 fél szoba","4 m² erkély"
"1583",NA,NA,"190 000 Ft/hó",NA,"Szilágyi Erzsébet fasor"," II. kerület","81 m² terület","2 + 1 fél szoba",NA
"1584",NA,NA,"190 000 Ft/hó",NA,"Lepke utca"," II. kerület","45 m² terület","2 szoba","8 m² erkély"
"1585",NA,NA,"290 000 Ft/hó",NA,"Zichy Jenő utca 27"," VI. kerület","113 m² terület","4 szoba",NA
"1586",NA,NA,"180 000 Ft/hó",NA,"Bertalan Lajos utca"," XI. kerület","62 m² terület","2 szoba",NA
"1587",NA,NA,"185 000 Ft/hó",NA,"Pannónia utca"," XIII. kerület","50 m² terület","2 szoba","4 m² erkély"
"1588","Új építésű",NA,"180 000 Ft/hó",NA,"Úszódaru utca 5"," XIII. kerület","33 m² terület","1 szoba","9 m² erkély"
"1589",NA,NA,"200 000 Ft/hó",NA,"Villányi út"," XI. kerület","49 m² terület","2 szoba",NA
"1590",NA,NA,"150 000 Ft/hó",NA,"Pengő utca"," II. kerület","50 m² terület","1 + 1 fél szoba",NA
"1591",NA,NA,"200 000 Ft/hó",NA,"Hegedűs Gyula utca 29"," XIII. kerület","67 m² terület","3 szoba",NA
"1592",NA,NA,"149 000 Ft/hó",NA,"Práter utca"," VIII. kerület","48 m² terület","1 + 1 fél szoba",NA
"1593",NA,NA,"140 000 Ft/hó",NA,"Bokréta utca"," IX. kerület","47 m² terület","1 + 1 fél szoba",NA
"1594",NA,NA,"438 180 Ft/hó",NA,"Donáti utca"," I. kerület","130 m² terület","3 szoba","1 m² erkély"
"1595",NA,NA,"195 000 Ft/hó",NA,"Akácfa utca"," VII. kerület","55 m² terület","2 + 1 fél szoba","3 m² erkély"
"1596",NA,NA,"193 530 Ft/hó",NA,"Márton utca"," IX. kerület","50 m² terület","2 szoba","3 m² erkély"
"1597",NA,NA,"240 000 Ft/hó",NA,"Honvéd utca"," V. kerület","62 m² terület","2 szoba",NA
"1598",NA,NA,"150 000 Ft/hó",NA,"Kerepesi út"," VIII. kerület","65 m² terület","2 szoba",NA
"1599",NA,NA,"125 000 Ft/hó",NA,"Népszínház utca"," VIII. kerület","53 m² terület","2 szoba",NA
"1600",NA,NA,"490 000 Ft/hó",NA,"Pasarét"," II. kerület","107 m² terület","3 szoba","17 m² erkély"
"1601","Új építésű",NA,"912 875 Ft/hó",NA,"Tárogató út 6"," II. kerület","143 m² terület","4 szoba","20 m² erkély"
"1602","Új építésű",NA,"270 000 Ft/hó",NA,"Kassák Lajos utca"," XIII. kerület","63 m² terület","3 szoba","10 m² erkély"
"1603",NA,NA,"280 000 Ft/hó",NA,"Lázár utca 6"," VI. kerület","66 m² terület","3 szoba",NA
"1604",NA,NA,"185 000 Ft/hó",NA,"Klapka utca"," XIII. kerület","39 m² terület","2 szoba","5 m² erkély"
"1605",NA,NA,"160 000 Ft/hó",NA,"Bártfai utca"," XI. kerület","65 m² terület","3 szoba",NA
"1606",NA,NA,"140 000 Ft/hó",NA,"Torontál utca"," XIV. kerület","40 m² terület","1 szoba",NA
"1607",NA,NA,"170 000 Ft/hó",NA,"Egressy út"," XIV. kerület","48 m² terület","2 szoba","5 m² erkély"
"1608",NA,NA,"140 000 Ft/hó",NA,"Hegedűs Gyula utca"," XIII. kerület","54 m² terület","1 + 1 fél szoba",NA
"1609",NA,NA,"168 000 Ft/hó",NA,"Kárpát utca"," XIII. kerület","68 m² terület","3 szoba","3 m² erkély"
"1610",NA,NA,"237 348 Ft/hó",NA,"Kapás utca"," II. kerület","60 m² terület","2 szoba","5 m² erkély"
"1611",NA,NA,"492 953 Ft/hó",NA,"Báthory utca 8"," V. kerület","97 m² terület","2 + 1 fél szoba",NA
"1612",NA,NA,"140 000 Ft/hó",NA,"Szilágyi Erzsébet fasor 65"," II. kerület","65 m² terület","2 szoba",NA
"1613",NA,NA,"456 438 Ft/hó",NA,"Molnár utca 20"," V. kerület","99 m² terület","3 szoba","3 m² erkély"
"1614",NA,NA,"337 764 Ft/hó",NA,"Balassi Bálint utca"," V. kerület","95 m² terület","3 szoba","3 m² erkély"
"1615","Új építésű",NA,"253 000 Ft/hó",NA,"Rózsa utca"," VI. kerület","70 m² terület","2 szoba","22 m² erkély"
"1616",NA,NA,"273 863 Ft/hó",NA,"Csengery utca 58"," VI. kerület","96 m² terület","3 szoba",NA
"1617",NA,NA,"657 270 Ft/hó",NA,"Szikla utca"," II. kerület","115 m² terület","4 szoba","6 m² erkély"
"1618",NA,NA,"140 000 Ft/hó",NA,"Békásmegyer-Ófalu"," III. kerület","40 m² terület","1 + 1 fél szoba",NA
"1619","Új építésű",NA,"265 000 Ft/hó",NA,"Székely Mihály utca"," VI. kerület","72 m² terület","3 szoba","8 m² erkély"
"1620",NA,NA,"250 000 Ft/hó",NA,"Falk Miksa utca"," V. kerület","70 m² terület","3 szoba",NA
"1621",NA,NA,"149 000 Ft/hó",NA,"Szentmihályi út"," XIV. kerület","46 m² terület","1 + 1 fél szoba",NA
"1622","Jó közlekedés",NA,"370 000 Ft/hó",NA,"Mecset utca"," II. kerület","101 m² terület","3 + 1 fél szoba","2 m² erkély"
"1623",NA,NA,"240 000 Ft/hó",NA,"Győző utca 5"," I. kerület","112 m² terület","3 szoba","10 m² erkély"
"1624","Új építésű",NA,"249 000 Ft/hó",NA,"Révész utca"," XIII. kerület","58 m² terület","3 szoba","16 m² erkély"
"1625","Új építésű",NA,"160 000 Ft/hó",NA,"Csavargyár utca 3"," XIII. kerület","43 m² terület","2 szoba","11.6 m² erkély"
"1626",NA,NA,"125 000 Ft/hó",NA,"Debrecen"," Belváros","51 m² terület","2 szoba",NA
"1627",NA,NA,"160 000 Ft/hó",NA,"Horánszky utca"," VIII. kerület","56 m² terület","2 szoba",NA
"1628",NA,NA,"365 150 Ft/hó",NA,"Bolyai utca"," II. kerület","98 m² terület","3 szoba","15 m² erkély"
"1629",NA,NA,"100 000 Ft/hó",NA,"Tartsay Vilmos utca"," XII. kerület","28 m² terület","1 szoba","2 m² erkély"
"1630",NA,NA,"129 000 Ft/hó",NA,"Deák Ferenc utca"," IV. kerület","53 m² terület","1 + 2 fél szoba","4 m² erkély"
"1631",NA,NA,"140 000 Ft/hó",NA,"Istenhegyi út"," XII. kerület","53 m² terület","2 szoba","4 m² erkély"
"1632",NA,NA,"175 000 Ft/hó",NA,"Júlia utca"," II. kerület","78 m² terület","2 + 1 fél szoba","10 m² erkély"
"1633",NA,NA,"150 000 Ft/hó",NA,"Ráday utca"," IX. kerület","60 m² terület","2 szoba",NA
"1634",NA,NA,"540 330 Ft/hó",NA,"Balassi Bálint utca"," V. kerület","113 m² terület","4 szoba","2 m² erkély"
"1635",NA,NA,"511 210 Ft/hó",NA,"Szentimreváros"," XI. kerület","140 m² terület","4 szoba","30 m² erkély"
"1636",NA,NA,"160 000 Ft/hó",NA,"Rákosszentmihály"," XVI. kerület","67 m² terület","3 szoba",NA
"1637",NA,NA,"290 000 Ft/hó",NA,"Benczúr utca"," VI. kerület","87 m² terület","2 + 1 fél szoba",NA
"1638",NA,NA,"1 460 600 Ft/hó",NA,"Budakeszi út"," II. kerület","272 m² terület","6 szoba","150 m² erkély"
"1639",NA,NA,"730 300 Ft/hó",NA,"Deák Ferenc tér"," V. kerület","90 m² terület","3 szoba","12 m² erkély"
"1640","Új építésű",NA,"270 000 Ft/hó",NA,"Andrássy út 68"," VI. kerület","64 m² terület","2 szoba","5 m² erkély"
"1641",NA,NA,"160 000 Ft/hó",NA,"Rumbach Sebestyén utca"," VII. kerület","50 m² terület","1 + 1 fél szoba","8 m² erkély"
"1642",NA,NA,"275 000 Ft/hó",NA,"Frangepán utca"," XIII. kerület","70 m² terület","1 + 2 fél szoba","20 m² erkély"
"1643",NA,NA,"300 000 Ft/hó",NA,"Lenhossék utca"," IX. kerület","73 m² terület","3 szoba","6 m² erkély"
"1644",NA,NA,"130 000 Ft/hó",NA,"József Attila-lakótelep"," IX. kerület","41 m² terület","1 + 1 fél szoba","4 m² erkély"
"1645",NA,NA,"230 000 Ft/hó",NA,"Tompa utca"," IX. kerület","91 m² terület","4 szoba",NA
"1646","Új építésű",NA,"1 278 025 Ft/hó",NA,"Szemlőhegy"," II. kerület","180 m² terület","4 szoba","25 m² erkély"
"1647","Elbűvölő",NA,"150 000 Ft/hó",NA,"Múzeum körút"," V. kerület","37 m² terület","1 szoba","4 m² erkély"
"1648",NA,NA,"210 000 Ft/hó",NA,"Bécsi út 4"," II. kerület","50 m² terület","2 szoba",NA
"1649",NA,NA,"349 170 Ft/hó",NA,"Lipótváros"," V. kerület","83 m² terület","3 szoba","3 m² erkély"
"1650",NA,NA,"140 000 Ft/hó",NA,"Dohány utca"," VII. kerület","67 m² terület","2 szoba","4 m² erkély"
"1651",NA,NA,"350 000 Ft/hó",NA,"Dohány utca"," VII. kerület","78 m² terület","2 + 1 fél szoba",NA
"1652",NA,NA,"250 000 Ft/hó",NA,"Kossuth utca"," Debrecen","115 m² terület","4 + 1 fél szoba","10 m² erkély"
"1653","Új építésű",NA,"430 000 Ft/hó",NA,"Turóc utca"," XIII. kerület","130 m² terület","3 szoba","10 m² erkély"
"1654",NA,NA,"280 000 Ft/hó",NA,"Kmety György utca"," VI. kerület","86 m² terület","3 szoba",NA
"1655",NA,NA,"292 120 Ft/hó",NA,"Pusztaszeri út"," II. kerület","63 m² terület","3 szoba","6 m² erkély"
"1656",NA,NA,"165 000 Ft/hó",NA,"Aba utca 2"," XIII. kerület","61 m² terület","2 szoba","8 m² erkély"
"1657",NA,NA,"100 000 Ft/hó",NA,"Üllői út"," IX. kerület","30 m² terület","1 szoba",NA
"1658",NA,NA,"150 000 Ft/hó",NA,"Béke utca"," XIII. kerület","35 m² terület","1 szoba","10 m² erkély"
"1659","Új építésű",NA,"639 013 Ft/hó",NA,"Donáti utca 23"," I. kerület","83 m² terület","3 szoba","10 m² erkély"
"1660","Felújított",NA,"91 305 Ft/hó",NA,"Victor Hugo utca 25"," XIII. kerület","19 m² terület","1 szoba","3.75 m² erkély"
"1661","Polgári stílus",NA,"175 000 Ft/hó",NA,"Júlia utca"," II. kerület","78 m² terület","2 + 1 fél szoba","10 m² erkély"
"1662",NA,NA,"150 000 Ft/hó",NA,"Leonardo da Vinci köz"," VIII. kerület","70 m² terület","3 szoba","5 m² erkély"
"1663",NA,NA,"630 000 Ft/hó",NA,"Dorottya utca 6"," V. kerület","110 m² terület","3 szoba","2 m² erkély"
"1664",NA,NA,"105 000 Ft/hó",NA,"Visegrádi utca"," XIII. kerület","31 m² terület","1 szoba",NA
"1665","Új építésű",NA,"160 000 Ft/hó",NA,"Illés utca 12"," VIII. kerület","45 m² terület","2 szoba","2 m² erkély"
"1666","Új építésű",NA,"160 000 Ft/hó",NA,"Illés utca 12"," VIII. kerület","45 m² terület","2 szoba","2 m² erkély"
"1667","Új építésű",NA,"295 000 Ft/hó",NA,"Corvin sétány 8"," VIII. kerület","60 m² terület","3 szoba","7 m² erkély"
"1668",NA,NA,"730 300 Ft/hó",NA,"Mátyás király út"," XII. kerület","90 m² terület","3 szoba",NA
"1669",NA,NA,"275 000 Ft/hó",NA,"Logodi utca 33"," I. kerület","67 m² terület","3 szoba",NA
"1670",NA,NA,"539 000 Ft/hó",NA,"Szent István körút"," V. kerület","130 m² terület","4 szoba",NA
"1671",NA,NA,"100 000 Ft/hó",NA,"Rozgonyi utca"," VIII. kerület","23 m² terület","1 szoba",NA
"1672","Új építésű",NA,"474 695 Ft/hó",NA,"Törökvész"," II. kerület","93 m² terület","3 szoba","10 m² erkély"
"1673",NA,NA,"195 000 Ft/hó",NA,"Veres Pálné utca 8"," V. kerület","76 m² terület","2 + 1 fél szoba","4 m² erkély"
"1674","Új építésű",NA,"350 000 Ft/hó",NA,"Katona József utca 6"," XIII. kerület","69 m² terület","3 szoba","11 m² erkély"
"1675",NA,NA,"350 000 Ft/hó",NA,"Zöldlomb utca 44"," II. kerület","91 m² terület","4 szoba","15 m² erkély"
"1676",NA,NA,"300 000 Ft/hó",NA,"Debrecen"," Liget lakópark","90 m² terület","3 szoba","39 m² erkély"
"1677",NA,NA,"110 000 Ft/hó",NA,"Telepy utca"," IX. kerület","40 m² terület","2 szoba",NA
"1678",NA,NA,"150 000 Ft/hó",NA,"Széchenyi utca"," Debrecen","78 m² terület","3 + 1 fél szoba",NA
"1679","Videó elérhető",NA,"1 200 000 Ft/hó",NA,"Számadó utca"," XI. kerület","197 m² terület","5 szoba","63 m² erkély"
"1680",NA,NA,"250 000 Ft/hó",NA,"Tavaszmező utca"," VIII. kerület","94 m² terület","3 szoba","2 m² erkély"
"1681","Azonnal költözhető",NA,"135 000 Ft/hó",NA,"Szentimrey utca"," X. kerület","48 m² terület","2 szoba",NA
"1682",NA,NA,"250 000 Ft/hó",NA,"Ditrói Mór utca"," XIII. kerület","100 m² terület","2 + 1 fél szoba",NA
"1683",NA,NA,"160 000 Ft/hó",NA,"Selmeci utca"," III. kerület","40 m² terület","2 szoba",NA
"1684","Új építésű",NA,"150 000 Ft/hó",NA,"Győr"," Belváros","65 m² terület","3 szoba",NA
"1685",NA,NA,"110 000 Ft/hó",NA,"Karolina út"," XI. kerület","43 m² terület","1 szoba","3 m² erkély"
"1686",NA,NA,"135 000 Ft/hó",NA,"Mihálkovics utca"," IX. kerület","49 m² terület","1 + 1 fél szoba",NA
"1687",NA,NA,"175 000 Ft/hó",NA,"Pálos utca 1"," II. kerület","68 m² terület","2 szoba","12 m² erkély"
"1688",NA,NA,"130 000 Ft/hó",NA,"Felső Törökhegy út 100"," Vác","30 m² terület","1 + 1 fél szoba",NA
"1689",NA,NA,"200 000 Ft/hó",NA,"Tüzér utca"," XIII. kerület","64 m² terület","3 szoba",NA
"1690","Új építésű",NA,"160 000 Ft/hó",NA,"Lehel utca"," XIII. kerület","44 m² terület","2 szoba","8 m² erkély"
"1691",NA,NA,"250 000 Ft/hó",NA,"Madách Imre tér"," VII. kerület","100 m² terület","2 + 1 fél szoba","3 m² erkély"
"1692","Új építésű",NA,"470 000 Ft/hó",NA,"Benczúr utca"," VI. kerület","68 m² terület","3 szoba","19 m² erkély"
"1693","Új építésű",NA,"155 000 Ft/hó",NA,"Drégely utca 14"," IX. kerület","50 m² terület","2 szoba",NA
"1694","Új építésű",NA,"140 000 Ft/hó",NA,"Reitter Ferenc utca 33-35"," XIII. kerület","35 m² terület","1 szoba",NA
"1695",NA,NA,"128 000 Ft/hó",NA,"Kispesti lakótelep"," XIX. kerület","53 m² terület","1 + 1 fél szoba",NA
"1696",NA,NA,"450 000 Ft/hó",NA,"Károly körút"," VII. kerület","78 m² terület","3 szoba",NA
"1697",NA,NA,"140 000 Ft/hó",NA,"Késmárk utca"," XV. kerület","53 m² terület","2 + 1 fél szoba",NA
"1698",NA,NA,"130 000 Ft/hó",NA,"Vaskapu utca"," IX. kerület","38 m² terület","1 + 1 fél szoba","4 m² erkély"
"1699",NA,NA,"250 000 Ft/hó",NA,"Zöldkert út"," II. kerület","66 m² terület","2 szoba","8 m² erkély"
"1700",NA,NA,"300 000 Ft/hó",NA,"Teréz körút 33"," VI. kerület","94 m² terület","3 szoba",NA
"1701",NA,NA,"180 000 Ft/hó",NA,"Laky Adolf utca"," XIV. kerület","63 m² terület","2 szoba",NA
"1702",NA,NA,"120 000 Ft/hó",NA,"Kerepesi út 32"," XIV. kerület","30 m² terület","1 szoba",NA
"1703",NA,NA,"120 000 Ft/hó",NA,"Szív utca"," VI. kerület","22 m² terület","1 szoba",NA
"1704","Azonnal költözhető",NA,"401 665 Ft/hó",NA,"Irányi utca 15"," V. kerület","123 m² terület","4 szoba","2 m² erkély"
"1705",NA,NA,"200 000 Ft/hó",NA,"Délibáb utca"," VI. kerület","56 m² terület","2 szoba","4 m² erkély"
"1706",NA,NA,"120 000 Ft/hó",NA,"Dunakeszi"," Toldi-Dombliget-lakópark","40 m² terület","1 + 1 fél szoba",NA
"1707",NA,NA,"550 000 Ft/hó",NA,"Leonardo da Vinci utca"," VIII. kerület","150 m² terület","3 + 1 fél szoba",NA
"1708",NA,NA,"134 000 Ft/hó",NA,"Németvölgy"," XII. kerület","35 m² terület","1 szoba",NA
"1709",NA,NA,"120 000 Ft/hó",NA,"Istvántelek"," IV. kerület","36 m² terület","2 szoba",NA
"1710",NA,NA,"120 000 Ft/hó",NA,"Bosnyák tér"," XIV. kerület","41 m² terület","1 + 1 fél szoba","3 m² erkély"
"1711","Új építésű",NA,"130 000 Ft/hó",NA,"Povl Bang-Jensen utca"," XI. kerület","30 m² terület","1 szoba","3 m² erkély"
"1712",NA,NA,"100 000 Ft/hó",NA,"Feketesas utca 27"," Szeged","54 m² terület","2 szoba",NA
"1713","Új építésű",NA,"169 900 Ft/hó",NA,"Lőportár utca"," XIII. kerület","50 m² terület","2 szoba","8 m² erkély"
"1714",NA,NA,"180 000 Ft/hó",NA,"Rákosfalva park"," XIV. kerület","72 m² terület","1 + 2 fél szoba",NA
"1715",NA,NA,"140 000 Ft/hó",NA,"Csertő utca"," XIV. kerület","46 m² terület","1 + 1 fél szoba",NA
"1716",NA,NA,"125 000 Ft/hó",NA,"Kagyló utca"," Győr","54 m² terület","1 + 1 fél szoba",NA
"1717",NA,NA,"110 000 Ft/hó",NA,"Győr"," Nádorváros","80 m² terület","2 szoba",NA
"1718",NA,NA,"130 000 Ft/hó",NA,"Dunaharaszti"," Óváros","50 m² terület","2 szoba",NA
"1719",NA,NA,"180 000 Ft/hó",NA,"József körút"," VIII. kerület","87 m² terület","2 + 1 fél szoba","4 m² erkély"
"1720",NA,NA,"180 000 Ft/hó",NA,"Paulay Ede utca"," VI. kerület","58 m² terület","3 szoba","6 m² erkély"
"1721",NA,NA,"185 000 Ft/hó",NA,"Lipótváros"," V. kerület","25 m² terület","1 szoba",NA
"1722",NA,NA,"180 000 Ft/hó",NA,"Honvéd utca"," V. kerület","52 m² terület","2 szoba","5 m² erkély"
"1723",NA,NA,"383 408 Ft/hó",NA,"Lechner Ödön fasor 2"," IX. kerület","66 m² terület","3 szoba","12 m² erkély"
"1724",NA,NA,"250 000 Ft/hó",NA,"Rózsa utca 57"," VI. kerület","81 m² terület","3 szoba",NA
"1725","Új építésű",NA,"200 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","50 m² terület","2 szoba","10 m² erkély"
"1726",NA,NA,"120 000 Ft/hó",NA,"Szeged"," Belváros","48 m² terület","2 szoba","6 m² erkély"
"1727",NA,NA,"766 815 Ft/hó",NA,"Balogh Ádám utca"," II. kerület","160 m² terület","4 szoba","30 m² erkély"
"1728",NA,NA,"438 180 Ft/hó",NA,"Kurucles"," II. kerület","98 m² terület","4 szoba","18 m² erkély"
"1729",NA,NA,"135 000 Ft/hó",NA,"Rumbach Sebestyén utca"," VII. kerület","54 m² terület","1 + 2 fél szoba","12 m² erkély"
"1730",NA,NA,"230 000 Ft/hó",NA,"Nádor utca"," V. kerület","70 m² terület","2 + 1 fél szoba",NA
"1731","Új építésű",NA,"529 468 Ft/hó",NA,"Szalag utca"," I. kerület","71 m² terület","3 szoba",NA
"1732",NA,NA,"190 000 Ft/hó",NA,"Paulay Ede utca"," VI. kerület","78 m² terület","3 szoba",NA
"1733",NA,NA,"250 000 Ft/hó",NA,"Kígyó utca 4"," V. kerület","54 m² terület","1 + 2 fél szoba","54 m² erkély"
"1734","Új építésű",NA,"210 000 Ft/hó",NA,"Ó utca 43"," VI. kerület","64 m² terület","2 szoba","2 m² erkély"
"1735",NA,NA,"190 000 Ft/hó",NA,"Budakeszi út"," II. kerület","56 m² terület","2 szoba","12 m² erkély"
"1736","Új építésű",NA,"273 863 Ft/hó",NA,"Szinyei Merse utca 13"," VI. kerület","80 m² terület","3 szoba",NA
"1737","Új építésű",NA,"200 833 Ft/hó",NA,"Aradi utca 38"," VI. kerület","61 m² terület","2 szoba","6 m² erkély"
"1738",NA,NA,"200 000 Ft/hó",NA,"Király utca 106"," VI. kerület","85 m² terület","2 szoba","2 m² erkély"
"1739",NA,NA,"180 000 Ft/hó",NA,"Péterfy Sándor utca"," VII. kerület","41 m² terület","1 + 1 fél szoba",NA
"1740","Új építésű",NA,"139 999 Ft/hó",NA,"Jobbágy utca"," VII. kerület","40 m² terület","1 szoba","4 m² erkély"
"1741",NA,NA,"756 000 Ft/hó",NA,"Balogh Ádám utca"," II. kerület","160 m² terület","4 szoba","30 m² erkély"
"1742",NA,NA,"775 000 Ft/hó",NA,"Marina sétány 1"," XIII. kerület","105 m² terület","3 szoba","50 m² erkély"
"1743",NA,NA,"599 000 Ft/hó",NA,"Kálmán Imre utca 10"," V. kerület","122 m² terület","3 + 1 fél szoba","3 m² erkély"
"1744",NA,NA,"490 000 Ft/hó",NA,"Falk Miksa utca"," V. kerület","115 m² terület","3 szoba",NA
"1745",NA,NA,"245 000 Ft/hó",NA,"Régi posta utca"," V. kerület","82 m² terület","3 szoba",NA
"1746","Új építésű",NA,"399 000 Ft/hó",NA,"Víziváros - Váralja"," I. kerület","57 m² terület","3 szoba","10 m² erkély"
"1747","Új építésű",NA,"420 000 Ft/hó",NA,"Benczúr utca"," VI. kerület","138 m² terület","4 szoba",NA
"1748",NA,NA,"565 000 Ft/hó",NA,"Dorottya utca"," V. kerület","70 m² terület","2 szoba",NA
"1749",NA,NA,"245 000 Ft/hó",NA,"Ferenciek tere"," V. kerület","65 m² terület","1 szoba",NA
"1750",NA,NA,"355 000 Ft/hó",NA,"Váci utca"," V. kerület","110 m² terület","4 szoba",NA
"1751",NA,NA,"570 000 Ft/hó",NA,"Vörösmarty tér"," V. kerület","63 m² terület","2 szoba","5 m² erkély"
"1752",NA,NA,"550 000 Ft/hó",NA,"Levendula utca"," XII. kerület","105 m² terület","3 szoba","11 m² erkély"
"1753",NA,NA,"820 000 Ft/hó",NA,"Vörösmarty tér"," V. kerület","97 m² terület","3 szoba","4 m² erkély"
"1754",NA,NA,"815 000 Ft/hó",NA,"Vörösmarty tér"," V. kerület","94 m² terület","3 szoba",NA
"1755",NA,NA,"540 000 Ft/hó",NA,"Benczúr utca"," VI. kerület","158 m² terület","4 szoba","20 m² erkély"
"1756",NA,NA,"450 000 Ft/hó",NA,"Döbrentei tér 10"," I. kerület","85 m² terület","3 szoba",NA
"1757",NA,NA,"980 000 Ft/hó",NA,"Szent István körút 17"," V. kerület","170 m² terület","3 szoba","3 m² erkély"
"1758",NA,NA,"880 000 Ft/hó",NA,"Kazinczy utca"," VII. kerület","188 m² terület","3 szoba","106 m² erkély"
"1759",NA,NA,"87 000 Ft/hó",NA,"Petőfi Sándor sugárút 18"," Szeged","35 m² terület","1 szoba","6 m² erkély"
"1760","Új építésű",NA,"1 120 000 Ft/hó",NA,"Belváros"," V. kerület","144 m² terület","3 + 1 fél szoba","23 m² erkély"
"1761","Új építésű",NA,"1 120 000 Ft/hó",NA,"Belváros"," V. kerület","144 m² terület","3 + 1 fél szoba","23 m² erkély"
"1762",NA,NA,"200 833 Ft/hó",NA,"Váci utca"," V. kerület","48 m² terület","2 szoba",NA
"1763","Virtuális séta",NA,"650 000 Ft/hó",NA,"Bem rakpart"," II. kerület","106 m² terület","4 szoba","4 m² erkély"
"1764","Új építésű",NA,"390 000 Ft/hó",NA,"Víziváros - Váralja"," I. kerület","61 m² terület","2 + 1 fél szoba","71 m² erkély"
"1765",NA,NA,"149 990 Ft/hó",NA,"Eötvös utca 29"," VI. kerület","62 m² terület","2 szoba",NA
"1766","Új építésű",NA,"355 000 Ft/hó",NA,"Víziváros - Váralja"," I. kerület","55 m² terület","2 szoba","7 m² erkély"
